Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807.zip,-75,S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761.zip,-97,12
S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761.zip,-97,S1A_IW_SLC__1SDV_20210206T220750_20210206T220817_036475_044850_2D27,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210206T220750_20210206T220817_036475_044850_2D27.zip,-89,12
S1A_IW_SLC__1SDV_20210206T220750_20210206T220817_036475_044850_2D27,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210206T220750_20210206T220817_036475_044850_2D27.zip,-89,S1A_IW_SLC__1SDV_20210218T220749_20210218T220816_036650_044E6F_0ED6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210218T220749_20210218T220816_036650_044E6F_0ED6.zip,-131,12
S1A_IW_SLC__1SDV_20210218T220749_20210218T220816_036650_044E6F_0ED6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210218T220749_20210218T220816_036650_044E6F_0ED6.zip,-131,S1A_IW_SLC__1SDV_20210302T220749_20210302T220816_036825_04547E_7175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210302T220749_20210302T220816_036825_04547E_7175.zip,-125,12
S1A_IW_SLC__1SDV_20210302T220749_20210302T220816_036825_04547E_7175,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210302T220749_20210302T220816_036825_04547E_7175.zip,-125,S1A_IW_SLC__1SDV_20210314T220749_20210314T220816_037000_045A9C_A82D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210314T220749_20210314T220816_037000_045A9C_A82D.zip,-101,12
S1A_IW_SLC__1SDV_20210314T220749_20210314T220816_037000_045A9C_A82D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210314T220749_20210314T220816_037000_045A9C_A82D.zip,-101,S1A_IW_SLC__1SDV_20210326T220750_20210326T220817_037175_0460A8_B1C4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210326T220750_20210326T220817_037175_0460A8_B1C4.zip,-86,12
S1A_IW_SLC__1SDV_20210419T220751_20210419T220818_037525_046CC2_717E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210419T220751_20210419T220818_037525_046CC2_717E.zip,-101,S1A_IW_SLC__1SDV_20210501T220751_20210501T220818_037700_0472D6_8AAB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210501T220751_20210501T220818_037700_0472D6_8AAB.zip,-192,12
S1A_IW_SLC__1SDV_20210501T220751_20210501T220818_037700_0472D6_8AAB,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210501T220751_20210501T220818_037700_0472D6_8AAB.zip,-192,S1A_IW_SLC__1SDV_20210513T220752_20210513T220819_037875_047859_6D7E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210513T220752_20210513T220819_037875_047859_6D7E.zip,-85,12
S1A_IW_SLC__1SDV_20210724T220756_20210724T220823_038925_0497CF_E928,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210724T220756_20210724T220823_038925_0497CF_E928.zip,-123,S1A_IW_SLC__1SDV_20210805T220757_20210805T220824_039100_049D2A_5418,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210805T220757_20210805T220824_039100_049D2A_5418.zip,-71,12
S1A_IW_SLC__1SDV_20210805T220757_20210805T220824_039100_049D2A_5418,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210805T220757_20210805T220824_039100_049D2A_5418.zip,-71,S1A_IW_SLC__1SDV_20210817T220757_20210817T220824_039275_04A339_4957,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210817T220757_20210817T220824_039275_04A339_4957.zip,-72,12
